City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,berdigestyakh,62.0989,126.6992,263.99,91,100,5.06,RU,1699742902
214,wloclawek,52.6482,19.0678,277.57,88,89,2.45,PL,1699742902
215,coronel suarez,-37.4547,-61.9334,291.52,48,1,3.94,AR,1699742903
216,stanley,54.868,-1.6985,277.75,95,75,0.51,GB,1699742903
217,port-gentil,-0.7193,8.7815,298.51,88,100,2.25,GA,1699742903
218,jiuquan,39.7432,98.5174,270.69,36,100,1.6,CN,1699742903
219,coquimbo,-29.9533,-71.3436,290.0,72,0,5.66,CL,1699742903
220,mansa,29.9833,75.3833,289.68,57,0,2.57,IN,1699742903
221,dunedin,-45.8742,170.5036,291.52,64,62,1.34,NZ,1699742904
222,seosan,36.7817,126.4522,277.89,61,100,5.21,KR,1699742904
223,yuzhno-kurilsk,44.0306,145.8556,275.58,80,34,6.74,RU,1699742904
224,zaozersk,69.4005,32.4476,265.8,96,61,2.46,RU,1699742904
225,rikaze,29.25,88.8833,271.25,59,3,1.7,CN,1699742904
226,dolbeau-mistassini,48.8763,-72.212,271.51,86,100,3.44,CA,1699742905
227,pitimbu,-7.4706,-34.8086,299.48,72,71,5.07,BR,1699742905
228,ivdel',60.6911,60.4206,275.48,91,97,1.34,RU,1699742905
229,yoloten,37.2989,62.3597,283.56,54,4,3.42,TM,1699742905
230,san sebastian de la gomera,28.0916,-17.1133,295.58,83,0,0.0,ES,1699742905
231,shijiang,27.0819,110.7933,280.15,91,100,2.84,CN,1699742906
232,lompoc,34.6391,-120.4579,299.03,25,0,4.63,US,1699742720
233,oranjemund,-28.55,16.4333,287.76,90,2,5.37,NA,1699742906
234,revda,56.801,59.9303,274.45,99,100,1.55,RU,1699742906
235,kill devil hills,36.0307,-75.676,288.7,59,100,3.6,US,1699742743
236,gaalkacyo,6.7697,47.4308,297.72,84,100,4.01,SO,1699742906
237,orlovskiy,46.8714,42.0592,281.14,81,99,10.47,RU,1699742907
238,storvreta,59.9667,17.7,278.14,100,100,2.06,SE,1699742907
239,saint-philippe,-21.3585,55.7679,294.92,85,28,4.72,RE,1699742907
240,remire-montjoly,4.9167,-52.2667,300.46,82,5,6.2,GF,1699742907
241,nanakuli,21.3906,-158.1547,304.12,54,20,6.69,US,1699742907
